,page_url,car_name,car_brand,car_model,car_type,car_age,kilometers,fuel,power,cm,price,ad_no
0,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
1,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
2,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
3,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
4,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
5,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
6,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
7,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
8,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
9,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
10,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
11,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
12,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
13,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
14,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
15,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
16,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
17,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
18,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
19,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
20,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
21,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
22,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
23,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
24,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
25,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
26,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
27,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
28,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
29,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
30,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
31,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
32,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
33,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
34,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
35,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
36,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
37,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
38,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
39,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
40,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
41,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
42,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
43,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
44,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
45,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
46,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
47,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
48,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
49,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
50,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
51,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
52,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
53,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
54,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
55,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
56,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
57,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
58,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
59,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
60,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
61,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
62,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
63,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
64,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
65,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
66,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
67,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
68,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
69,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
70,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
71,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
72,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
73,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
74,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
75,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
76,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
77,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
78,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
79,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
80,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
81,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
82,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
83,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
84,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
85,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
86,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
87,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
88,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
89,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
90,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
91,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
92,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
93,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
94,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
95,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
96,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
97,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
98,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
99,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
100,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
101,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
102,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
103,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
104,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
105,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
106,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
107,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
108,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
109,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
110,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
111,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
112,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
113,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
114,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
115,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
